player_id,source_name,canonical_name,canonical_name_key,source_position_id,canonical_position
1249,Kenny Pickett,kenny pickett,kenny pickett,8002.0,QB
1250,Kenny Stills,kenny stills,kenny stills,8004.0,WR
1251,Kenyan Drake,kenyan drake,kenyan drake,8003.0,RB
1252,Kerryon Johnson,kerryon johnson,kerryon johnson,8003.0,RB
1253,Khalil Herbert,khalil herbert,khalil herbert,8003.0,RB
1254,Kirk Cousins,kirk cousins,kirk cousins,8002.0,QB
1255,Kyle Pitts,kyle pitts,kyle pitts,8005.0,TE
1256,Kyle Rudolph,kyle rudolph,kyle rudolph,8005.0,TE
1257,Kyler Murray,kyler murray,kyler murray,8002.0,QB
1258,Lamar Jackson,lamar jackson,lamar jackson,8002.0,QB
1259,Lamar Miller,lamar miller,lamar miller,8003.0,RB
1260,Larry Fitzgerald,larry fitzgerald,larry fitzgerald,8004.0,WR
1261,Latavius Murray,latavius murray,latavius murray,8003.0,RB
1262,Laviska Shenault,laviska shenault,laviska shenault,8004.0,WR
1263,Le'Veon Bell,leveon bell,leveon bell,8003.0,RB
1264,Leonard Fournette,leonard fournette,leonard fournette,8003.0,RB
1265,LeSean McCoy,lesean mccoy,lesean mccoy,8003.0,RB
1266,Logan Thomas,logan thomas,logan thomas,8005.0,TE
1267,Chargers D/ST,chargers d/st,chargers d/st,8006.0,DEF
1268,Los Angeles Rams,los angeles rams,los angeles rams,8006.0,DEF
1269,Lynn Bowden,lynn bowden,lynn bowden,8003.0,RB
1270,Mac Jones,mac jones,mac jones,8002.0,QB
1271,Malcolm Brown,malcolm brown,malcolm brown,8003.0,RB
1272,Marcus Mariota,marcus mariota,marcus mariota,8002.0,QB
1273,Mark Andrews,mark andrews,mark andrews,8005.0,TE
1274,Mark Ingram,mark ingram,mark ingram,8003.0,RB
1275,Marlon Mack,marlon mack,marlon mack,8003.0,RB
1276,Marqise Lee,marqise lee,marqise lee,8004.0,WR
1277,Marquez Valdes-Scantling,marquez valdes-scantling,marquez valdes-scantling,8004.0,WR
1278,Hollywood Brown,hollywood brown,hollywood brown,,UNKNOWN
1279,Marquise Goodwin,marquise goodwin,marquise goodwin,8004.0,WR
1280,Marshawn Lynch,marshawn lynch,marshawn lynch,8003.0,RB
1281,Martavis Bryant,martavis bryant,martavis bryant,8004.0,WR
1282,Marvin Jones,marvin jones,marvin jones,8004.0,WR
1283,Mason Crosby,mason crosby,mason crosby,8099.0,K
1284,Matt Breida,matt breida,matt breida,8003.0,RB
1285,Matt Bryant,matt bryant,matt bryant,8099.0,K
1286,Matt Prater,matt prater,matt prater,8099.0,K
1287,Matt Ryan,matt ryan,matt ryan,8002.0,QB
1288,Matthew Stafford,matthew stafford,matthew stafford,8002.0,QB
1289,Mecole Def,mecole def,mecole def,8004.0,WR
1290,Mecole Hardman,mecole hardman,mecole hardman,8004.0,WR
1291,Melvin Gordon,melvin gordon,melvin gordon,8003.0,RB
1292,Dolphins D/ST,dolphins d/st,dolphins d/st,8006.0,DEF
1293,Michael Carter,michael carter,michael carter,8003.0,RB
1294,Michael Crabtree,michael crabtree,michael crabtree,8004.0,WR
1295,Michael Gallup,michael gallup,michael gallup,8004.0,WR
1296,Michael Pittman,michael pittman,michael pittman,8004.0,WR
1297,Michael Thomas,michael thomas,michael thomas,8004.0,WR
1298,Mike Boone,mike boone,mike boone,8003.0,RB
1299,Mike Davis,mike davis,mike davis,8003.0,RB
1300,Mike Evans,mike evans,mike evans,8004.0,WR
1301,Mike Gesicki,mike gesicki,mike gesicki,8005.0,TE
1302,Mike Williams,mike williams,mike williams,8004.0,WR
1303,Miles Sanders,miles sanders,miles sanders,8003.0,RB
1304,Minnesota Vikings,minnesota vikings,minnesota vikings,8006.0,DEF
1305,Mitchell Trubisky,mitchell trubisky,mitchell trubisky,8002.0,QB
1306,N'Keal Harry,nkeal harry,nkeal harry,8004.0,WR
1307,Najee Harris,najee harris,najee harris,8003.0,RB
1308,Nelson Agholor,nelson agholor,nelson agholor,8004.0,WR
1309,New England Patriots,new england patriots,new england patriots,8006.0,DEF
1310,New Orleans Saints,new orleans saints,new orleans saints,8006.0,DEF
1311,Jets D/ST,jets d/st,jets d/st,8006.0,DEF
1312,Nick Chubb,nick chubb,nick chubb,8003.0,RB
1313,Nico Collins,nico collins,nico collins,8004.0,WR
1314,Noah Fant,noah fant,noah fant,8005.0,TE
1315,Nyheim Hines,nyheim hines,nyheim hines,8003.0,RB
1316,O.J. Howard,oj howard,oj howard,8005.0,TE
1317,Odell Beckham Jr.,odell beckham,odell beckham,8004.0,WR
1318,Parris Campbell,parris campbell,parris campbell,8004.0,WR
1319,Pat Freiermuth,pat freiermuth,pat freiermuth,8005.0,TE
1320,Patrick Mahomes,patrick mahomes,patrick mahomes,8002.0,QB
1321,Paul Richardson,paul richardson,paul richardson,8004.0,WR
1322,Peyton Barber,peyton barber,peyton barber,8003.0,RB
1323,Eagles D/ST,eagles d/st,eagles d/st,8006.0,DEF
1324,Philip Rivers,philip rivers,philip rivers,8002.0,QB
1325,Phillip Lindsay,phillip lindsay,phillip lindsay,8003.0,RB
1326,Pierre Garcon,pierre garcon,pierre garcon,8004.0,WR
1327,Pittsburgh Steelers,pittsburgh steelers,pittsburgh steelers,8006.0,DEF
1328,Puka Nacua,puka nacua,puka nacua,8004.0,WR
1329,Quentin Johnston,quentin johnston,quentin johnston,8004.0,WR
1330,Rachaad White,rachaad white,rachaad white,8003.0,RB
1331,Raheem Mostert,raheem mostert,raheem mostert,8003.0,RB
1332,Randall Cobb,randall cobb,randall cobb,8004.0,WR
1333,Rashaad Penny,rashaad penny,rashaad penny,8003.0,RB
1334,Rashod Bateman,rashod bateman,rashod bateman,8004.0,WR
1335,Rex Burkhead,rex burkhead,rex burkhead,8003.0,RB
1336,Rhamondre Stevenson,rhamondre stevenson,rhamondre stevenson,8003.0,RB
1337,Rishard Matthews,rishard matthews,rishard matthews,8004.0,WR
1338,Rob Gronkowski,rob gronkowski,rob gronkowski,8005.0,TE
1339,Robbie Gould,robbie gould,robbie gould,8099.0,K
1340,Robby Anderson,robby anderson,robby anderson,8004.0,WR
1341,Robert Tonyan,robert tonyan,robert tonyan,8005.0,TE
1342,Robert Woods,robert woods,robert woods,8004.0,WR
1343,Romeo Doubs,romeo doubs,romeo doubs,8004.0,WR
1344,Ronald Jones,ronald jones,ronald jones,8003.0,RB
1345,Rondale Moore,rondale moore,rondale moore,8004.0,WR
1346,Royce Freeman,royce freeman,royce freeman,8003.0,RB
1347,Russell Gage,russell gage,russell gage,8004.0,WR
1348,Russell Wilson,russell wilson,russell wilson,8002.0,QB
1349,Ryan Fitzpatrick,ryan fitzpatrick,ryan fitzpatrick,8002.0,QB
1350,Ryan Tannehill,ryan tannehill,ryan tannehill,8002.0,QB
1351,Sam Darnold,sam darnold,sam darnold,8002.0,QB
1352,Sam Howell,sam howell,sam howell,8002.0,QB
1353,Sam LaPorta,sam laporta,sam laporta,8005.0,TE
1354,Samaje Perine,samaje perine,samaje perine,8003.0,RB
1355,Sammy Watkins,sammy watkins,sammy watkins,8004.0,WR
1356,49ers D/ST,49ers d/st,49ers d/st,8006.0,DEF
1357,Saquon Barkley,saquon barkley,saquon barkley,8003.0,RB
1358,Seahawks D/ST,seahawks d/st,seahawks d/st,8006.0,DEF
1359,Skyy Moore,skyy moore,skyy moore,8004.0,WR
1360,Sony Michel,sony michel,sony michel,8003.0,RB
1361,Stefon Diggs,stefon diggs,stefon diggs,8004.0,WR
1362,Stephen Gostkowski,stephen gostkowski,stephen gostkowski,8099.0,K
1363,Sterling Shepard,sterling shepard,sterling shepard,8004.0,WR
1364,T.J. Hockenson,tj hockenson,tj hockenson,8005.0,TE
1365,T.Y. Hilton,ty hilton,ty hilton,8004.0,WR
